"bldg","y","defects","poor","race.x","floor","dist","borough","numunits","stories","race.y","personrm","housewgt","sequenceno","under6","cd","unitflr2","regext","totincom2","subsidy","housing","poverty","povertyx2","extwin4_2","extflr5_2","intcrack2","inthole2","intpeel_cat","intleak2","duration","board2","struct","old","help","rodent2","foreign","dilap","black_Mean","board2_Mean","foreign_Mean","help_Mean","hispanic_Mean","old_Mean","poverty_Mean","povertyx2_Mean","pubhous_Mean","regext_Mean","struct_Mean","dilap_Mean","ownhous_Mean","duration_Mean","extwin4_2_Mean","extflr5_2_Mean","intcrack2_Mean","inthole2_Mean","intleak2_Mean","vacrate"
52,1,5,7,4,8,1,1,12,6,2,0.33,226.18077,214547,1,1,8,1,15001,0,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
52,1,5,7,4,8,1,1,12,6,4,0.83,186.57207,211966,1,1,8,0,14432,1,1,1,1,0,0,1,1,2,0,5,0,0,0,NA,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
60,0,0,8,3,7,1,1,12,6,3,0.8,213.6345,727702,1,1,7,1,5400,1,1,1,1,0,0,0,0,0,0,9,1,1,0,0,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
71,1,0,5,2,7,1,1,11,5,4,0.5,249.15661,835588,1,1,7,1,19000,1,4,0,1,0,0,0,0,0,0,20,0,1,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
71,1,0,5,2,7,1,1,11,5,3,0.75,182.99832,767440,3,1,7,0,3600,1,4,1,1,0,0,1,1,2,0,5,0,1,0,1,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
71,1,0,5,2,7,1,1,11,5,2,0.67,168.49764,737690,1,1,7,1,9552,1,4,1,1,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
71,1,4,5,3,7,1,1,11,5,4,0.5,249.15661,835588,1,1,7,1,19000,1,4,0,1,0,0,0,0,0,0,20,0,1,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
71,1,4,5,3,7,1,1,11,5,3,0.75,182.99832,767440,3,1,7,0,3600,1,4,1,1,0,0,1,1,2,0,5,0,1,0,1,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
71,1,4,5,3,7,1,1,11,5,2,0.67,168.49764,737690,1,1,7,1,9552,1,4,1,1,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
71,0,0,4,4,7,1,1,11,5,4,0.5,249.15661,835588,1,1,7,1,19000,1,4,0,1,0,0,0,0,0,0,20,0,1,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
71,0,0,4,4,7,1,1,11,5,3,0.75,182.99832,767440,3,1,7,0,3600,1,4,1,1,0,0,1,1,2,0,5,0,1,0,1,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
71,0,0,4,4,7,1,1,11,5,2,0.67,168.49764,737690,1,1,7,1,9552,1,4,1,1,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
77,1,1,6,4,3,1,1,10,5,4,0.5,170.33447,968848,1,1,3,0,11040,1,2,1,1,0,0,0,0,0,0,17,0,0,1,0,1,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
77,1,1,6,4,3,1,1,10,5,4,1,178.84964,431123,2,1,4,1,6000,0,2,1,1,0,0,0,0,0,0,9,0,0,1,1,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
77,1,1,5,4,4,1,1,10,5,4,0.5,170.33447,968848,1,1,3,0,11040,1,2,1,1,0,0,0,0,0,0,17,0,0,1,0,1,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
77,1,1,5,4,4,1,1,10,5,4,1,178.84964,431123,2,1,4,1,6000,0,2,1,1,0,0,0,0,0,0,9,0,0,1,1,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,5,6,3,8,1,1,12,6,2,0.5,189.67769,23197,1,1,8,0,11000,0,1,1,1,0,0,0,0,0,1,6,0,1,0,1,0,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,5,6,3,8,1,1,12,6,3,1,189.67769,172311,2,1,8,0,44000,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,5,6,3,8,1,1,12,6,3,0.5,178.84964,716668,1,1,8,0,6648,0,1,1,1,0,0,1,0,2,1,14,0,0,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,5,6,3,8,1,1,12,6,4,0.75,178.84964,957301,1,1,8,0,14000,0,1,1,1,0,0,0,0,0,0,13,0,1,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,0,4,3,8,1,1,12,6,2,0.5,189.67769,23197,1,1,8,0,11000,0,1,1,1,0,0,0,0,0,1,6,0,1,0,1,0,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,0,4,3,8,1,1,12,6,3,1,189.67769,172311,2,1,8,0,44000,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,0,4,3,8,1,1,12,6,3,0.5,178.84964,716668,1,1,8,0,6648,0,1,1,1,0,0,1,0,2,1,14,0,0,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,0,4,3,8,1,1,12,6,4,0.75,178.84964,957301,1,1,8,0,14000,0,1,1,1,0,0,0,0,0,0,13,0,1,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,0,6,4,8,1,1,12,6,2,0.5,189.67769,23197,1,1,8,0,11000,0,1,1,1,0,0,0,0,0,1,6,0,1,0,1,0,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,0,6,4,8,1,1,12,6,3,1,189.67769,172311,2,1,8,0,44000,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,0,6,4,8,1,1,12,6,3,0.5,178.84964,716668,1,1,8,0,6648,0,1,1,1,0,0,1,0,2,1,14,0,0,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,0,6,4,8,1,1,12,6,4,0.75,178.84964,957301,1,1,8,0,14000,0,1,1,1,0,0,0,0,0,0,13,0,1,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,1,6,2,8,1,1,12,6,2,0.5,189.67769,23197,1,1,8,0,11000,0,1,1,1,0,0,0,0,0,1,6,0,1,0,1,0,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,1,6,2,8,1,1,12,6,3,1,189.67769,172311,2,1,8,0,44000,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,1,6,2,8,1,1,12,6,3,0.5,178.84964,716668,1,1,8,0,6648,0,1,1,1,0,0,1,0,2,1,14,0,0,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
83,0,1,6,2,8,1,1,12,6,4,0.75,178.84964,957301,1,1,8,0,14000,0,1,1,1,0,0,0,0,0,0,13,0,1,0,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,0,1,6,3,6,1,1,10,4,3,1.33,178.84964,364647,2,1,6,0,36000,1,2,0,1,0,0,0,0,0,1,18,0,1,1,0,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,0,1,6,3,6,1,1,10,4,3,0.33,172.33043,421833,1,1,6,1,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,0,1,6,3,6,1,1,10,4,3,0.67,191.49159,691898,1,1,6,1,8364,0,2,1,1,0,0,0,0,0,0,9,0,0,1,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,0,1,6,3,6,1,1,10,4,3,0.75,178.84964,941632,1,1,6,0,77000,1,2,0,0,0,0,0,0,2,0,9,0,1,1,0,0,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,0,1,5,3,6,1,1,10,4,3,1.33,178.84964,364647,2,1,6,0,36000,1,2,0,1,0,0,0,0,0,1,18,0,1,1,0,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,0,1,5,3,6,1,1,10,4,3,0.33,172.33043,421833,1,1,6,1,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,0,1,5,3,6,1,1,10,4,3,0.67,191.49159,691898,1,1,6,1,8364,0,2,1,1,0,0,0,0,0,0,9,0,0,1,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,0,1,5,3,6,1,1,10,4,3,0.75,178.84964,941632,1,1,6,0,77000,1,2,0,0,0,0,0,0,2,0,9,0,1,1,0,0,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,0,2,4,3,6,1,1,10,4,3,1.33,178.84964,364647,2,1,6,0,36000,1,2,0,1,0,0,0,0,0,1,18,0,1,1,0,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,0,2,4,3,6,1,1,10,4,3,0.33,172.33043,421833,1,1,6,1,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,0,2,4,3,6,1,1,10,4,3,0.67,191.49159,691898,1,1,6,1,8364,0,2,1,1,0,0,0,0,0,0,9,0,0,1,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,0,2,4,3,6,1,1,10,4,3,0.75,178.84964,941632,1,1,6,0,77000,1,2,0,0,0,0,0,0,2,0,9,0,1,1,0,0,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,1,1,5,3,6,1,1,10,4,3,1.33,178.84964,364647,2,1,6,0,36000,1,2,0,1,0,0,0,0,0,1,18,0,1,1,0,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,1,1,5,3,6,1,1,10,4,3,0.33,172.33043,421833,1,1,6,1,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,1,1,5,3,6,1,1,10,4,3,0.67,191.49159,691898,1,1,6,1,8364,0,2,1,1,0,0,0,0,0,0,9,0,0,1,1,0,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
85,1,1,5,3,6,1,1,10,4,3,0.75,178.84964,941632,1,1,6,0,77000,1,2,0,0,0,0,0,0,2,0,9,0,1,1,0,0,0,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
101,1,4.31081081081081,6,3,6,1,1,10,5,3,0.6,186.57207,929511,1,1,6,0,8352,0,1,1,1,0,0,1,1,NA,1,20,0,0,0,0,1,1,0,0.23,0.26,0.64,0.55,0.74,0.59,0.48,0.73,0.28,0.54,0.43,0.03,0.05,11.6,0.02,0.07,0.22,0.16,0.27,0.05
121,1,0,5,3,3,2,1,6,2,3,1,241.73771,134284,1,2,3,0,6360,1,4,1,1,0,0,0,0,0,0,3,0,1,1,1,1,0,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
121,1,0,5,3,3,2,1,6,2,3,0.25,241.73771,574599,1,2,4,0,7584,1,4,1,1,0,0,0,0,2,0,5,0,0,1,1,1,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
121,1,3,5,3,4,2,1,6,2,3,1,241.73771,134284,1,2,3,0,6360,1,4,1,1,0,0,0,0,0,0,3,0,1,1,1,1,0,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
121,1,3,5,3,4,2,1,6,2,3,0.25,241.73771,574599,1,2,4,0,7584,1,4,1,1,0,0,0,0,2,0,5,0,0,1,1,1,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
127,NA,2.66307917995035,1.40969162995595,1,2,2,1,1,1,1,0.5,183.94362,497268,1,2,2,NA,131408,NA,3,0,0,1,NA,NA,NA,NA,NA,70,0,NA,1,NA,NA,NA,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
130,0,1,5,3,6,2,1,10,4,5,0.25,172.33043,473032,1,2,6,1,16000,0,2,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
130,0,1,5,3,6,2,1,10,4,3,0.4,235.29088,954071,1,2,6,0,12480,0,2,1,1,0,0,0,0,1,0,23,0,1,1,1,0,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
130,0,1,5,3,6,2,1,10,4,2,0.25,247.89078,568240,1,2,5,1,59487,NA,3,0,0,0,0,0,0,0,0,6,0,1,1,1,1,0,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
130,1,0,1,2,5,2,1,10,4,5,0.25,172.33043,473032,1,2,6,1,16000,0,2,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
130,1,0,1,2,5,2,1,10,4,3,0.4,235.29088,954071,1,2,6,0,12480,0,2,1,1,0,0,0,0,1,0,23,0,1,1,1,0,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
130,1,0,1,2,5,2,1,10,4,2,0.25,247.89078,568240,1,2,5,1,59487,NA,3,0,0,0,0,0,0,0,0,6,0,1,1,1,1,0,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
130,0,0,4,5,6,2,1,10,4,5,0.25,172.33043,473032,1,2,6,1,16000,0,2,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
130,0,0,4,5,6,2,1,10,4,3,0.4,235.29088,954071,1,2,6,0,12480,0,2,1,1,0,0,0,0,1,0,23,0,1,1,1,0,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
130,0,0,4,5,6,2,1,10,4,2,0.25,247.89078,568240,1,2,5,1,59487,NA,3,0,0,0,0,0,0,0,0,6,0,1,1,1,1,0,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
143,1,0,4.40969162995595,4,2,2,1,1,1,4,0.75,169.61091,835957,1,2,2,NA,0,NA,3,1,1,0,0,0,0,0,0,50,1,1,1,1,1,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
147,1,5,7,1,2,2,1,10,4,1,0.67,235.29088,292088,1,2,2,0,3528,1,2,1,1,0,0,1,0,2,1,4,1,0,1,0,1,0,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
147,1,5,7,1,2,2,1,10,4,2,0.33,172.33043,167421,1,2,2,0,15264,0,2,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
147,1,5,7,1,2,2,1,10,4,3,3,241.73771,174114,1,2,3,0,16428,0,2,0,1,0,0,1,0,0,1,2,1,0,1,1,1,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
147,1,3,5,3,3,2,1,10,4,1,0.67,235.29088,292088,1,2,2,0,3528,1,2,1,1,0,0,1,0,2,1,4,1,0,1,0,1,0,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
147,1,3,5,3,3,2,1,10,4,2,0.33,172.33043,167421,1,2,2,0,15264,0,2,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
147,1,3,5,3,3,2,1,10,4,3,3,241.73771,174114,1,2,3,0,16428,0,2,0,1,0,0,1,0,0,1,2,1,0,1,1,1,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
147,0,2,5,2,2,2,1,10,4,1,0.67,235.29088,292088,1,2,2,0,3528,1,2,1,1,0,0,1,0,2,1,4,1,0,1,0,1,0,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
147,0,2,5,2,2,2,1,10,4,2,0.33,172.33043,167421,1,2,2,0,15264,0,2,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0.38,0.2,0.5,0.58,0.53,0.67,0.48,0.78,0.16,0.62,0.42,0.17,0.08,10.39,0.04,0.13,0.22,0.1,0.29,0.11
