ano,temperatura,pH,milho,sacarose,boa
1987,65.1,7.94,BRS3046,64.14,0
1987,58.2,7.57,BRS3046,69.75,0
1987,59.7,7.81,BRS3046,77.7,0
1987,58.1,7.55,BRS3046,74.68,0
1987,63.4,7.47,BRS3046,71.17,0
1987,67.8,7.82,BRS3046,63.83,0
1987,59,7.7,BRS3046,67.38,0
1987,59.8,7.7,BRS3046,80.8,0
1987,62.6,7.79,Comum,8.4,1
1987,74.5,7.43,BRS3046,81.17,0
1987,57.7,7.84,BRS3046,60.61,0
1987,57.7,7.97,Comum,8.81,1
1987,63.1,7.73,Comum,14.43,1
1987,60.6,7.03,BRS3046,85.65,0
1987,61,7.6,BRS3046,75.5,0
1987,52.8,7.03,BRS3046,75.49,0
1987,56.9,7.26,BRS3046,65,0
1987,58.8,7.41,BRS3046,60.84,0
1987,62.3,7.7,BRS3046,69.43,0
1987,60.5,7.68,Comum,13.82,1
1987,56.8,7.18,Comum,8.49,1
1987,54.6,7.67,BRS3046,8.57,1
1987,62.3,7.13,BRS3046,65.67,0
1987,63.2,7.9,Comum,10.85,1
1987,52,7.9,BRS3046,73.01,0
1987,61.5,7.62,BRS3046,68.88,0
1987,53.9,7.86,Comum,7.12,1
1987,56.3,7.8,BRS3046,72.02,0
1987,52.5,7.7,BRS3046,69.56,0
1987,56.5,7.33,BRS3046,64.73,0
1987,64.8,7.88,BRS3046,51.75,0
1987,62.4,7.06,Comum,7.89,1
1987,58.6,7.45,BRS3046,82.49,0
1987,55,7.3,Comum,11.23,1
1987,55.3,7.1,BRS3046,67.28,0
1987,67,7.39,Comum,6.06,1
1987,55.4,8,BRS3046,60.81,0
1987,61.8,7.43,BRS3046,76.42,0
1987,61.3,7.58,BRS3046,65.39,0
1987,65,7.81,Comum,8.55,1
1987,54.3,7.13,Comum,13.17,1
1987,54.2,7.15,BRS3046,73.49,0
1987,52.7,7.33,Comum,9.36,1
1987,59.5,7.46,BRS3046,65.73,0
1987,61.8,7.96,Comum,72.02,0
1987,59.3,7.34,BRS3046,70.76,0
1987,60.7,7.82,BRS3046,69.64,0
1987,64.9,7.11,BRS3046,84.36,0
1987,63.1,7.88,Comum,9.04,1
1987,63.1,7.75,BRS3046,72.67,0
1987,63.8,7.64,Comum,8.9,1
1987,66.9,7.4,BRS3046,75.73,0
1987,62.4,7.83,BRS3046,76.59,0
1987,64.7,7.3,BRS3046,68.71,0
1987,57.2,7.65,Comum,7.1,1
1987,57,7.72,BRS3046,82.84,0
1987,68.8,7.17,BRS3046,68.16,0
1987,56,7.25,Comum,58.16,0
1987,61.8,7.47,BRS3046,65.81,0
1987,60.8,7.75,Comum,8.95,1
1987,53.6,7.1,Comum,8.81,1
1987,53,7.75,BRS3046,79.77,0
1987,60.6,7.34,Comum,11.64,1
1988,59.2,7.75,Comum,7.85,1
1988,70,7.7,Comum,15.07,1
1988,60.1,7.78,Comum,11.05,1
1988,59.9,7.37,BRS3046,68.76,0
1988,54.4,7.73,BRS3046,82.89,0
1988,55.2,7.06,Comum,7.2,1
1988,67.7,7.74,BRS3046,68.91,0
1988,58.5,7.01,Comum,8.05,1
1988,54.3,7.37,BRS3046,67.29,0
1988,58.9,7.29,BRS3046,59.34,0
1988,51,7.17,Comum,8.18,1
1988,64.7,7.09,Comum,8.76,1
1988,63.2,7.95,Comum,12.64,1
1988,56.9,7.5,BRS3046,64.04,0
1988,58.3,7.04,BRS3046,66.48,0
1988,65.1,7.43,BRS3046,67.77,0
1988,59.3,7.01,Comum,81.04,0
1988,63.9,7.49,BRS3046,77.27,0
1988,63.7,7.76,Comum,9.06,1
1988,60.6,7.96,BRS3046,67.03,0
1988,66.7,7.14,BRS3046,64.27,0
1988,67.3,7.91,Comum,10.35,1
1988,58,7.03,BRS3046,72.36,0
1988,60.1,7.43,BRS3046,78.48,0
1988,56.1,7.64,BRS3046,66.97,0
1988,54.1,7.42,BRS3046,65.96,0
1988,64.9,7.78,Comum,11.08,1
1988,59.7,7.9,BRS3046,78.18,0
1988,58.9,7.19,BRS3046,84.13,0
1988,61.6,7.91,BRS3046,60.65,0
1988,51.3,7.47,BRS3046,69.04,0
1988,64.7,7.25,BRS3046,75.83,0
1988,59.1,7.64,BRS3046,75.86,0
1988,60.3,7.29,BRS3046,67.4,0
1988,63,7.37,BRS3046,62.49,0
1988,56.7,7.03,Comum,12.2,1
1988,61.4,7.02,BRS3046,75.69,0
1988,63.6,7.83,Comum,9.28,1
1988,59.4,7.48,BRS3046,63.61,0
1988,67.8,7.15,BRS3046,75.1,0
1988,58.5,7.55,Comum,9.19,1
1988,53.8,7.2,BRS3046,71.21,0
1988,64.9,7.85,BRS3046,62.29,0
1988,66.5,7.04,Comum,11.09,1
1988,61.5,7.39,BRS3046,76.96,0
1988,59,7.23,BRS3046,70.89,0
1988,57.6,7.64,BRS3046,69.71,0
1988,62.6,7.08,BRS3046,85.34,0
1988,68.8,7.51,Comum,7.92,1
1988,52.8,7.39,BRS3046,63.98,0
1988,62.2,7.88,Comum,62.56,0
1988,64.7,7.31,BRS3046,85.15,0
1988,62.3,7.4,BRS3046,59.38,0
1988,54.4,7.26,BRS3046,64.83,0
1988,64.5,7.29,Comum,9.51,1
1988,61.3,7.69,BRS3046,77.55,0
1988,59.9,7.4,BRS3046,70.55,0
1988,65.8,7.23,Comum,7.01,1
1988,64.9,7.01,Comum,66.65,0
1988,56.7,7.41,Comum,9.34,1
1988,60.8,7.42,BRS3046,76.99,0
1988,54.8,7.91,BRS3046,76.14,0
1988,61,7.83,BRS3046,66.1,0
1988,51.4,7.32,BRS3046,66.09,0
1988,63.9,7.99,BRS3046,71.63,0
1988,59.1,7.45,Comum,9.01,1
1988,68.8,7.19,BRS3046,61.87,0
1988,58.8,7.1,BRS3046,62.62,0
1988,53.1,7.65,Comum,8.14,1
1988,59.1,7.62,BRS3046,70.16,0
1988,51.8,7.01,BRS3046,60.29,0
1988,61.4,7.76,Comum,10.76,1
1988,66.9,7.54,BRS3046,72.2,0
1988,57.6,7.05,BRS3046,61.93,0
1988,60,7.67,Comum,7.72,1
1988,62.3,7.16,BRS3046,84.7,0
1988,61.9,7.49,BRS3046,77,0
1988,65.9,7.95,BRS3046,56.38,0
1988,60.1,7.97,BRS3046,78.68,0
1988,65.4,7.04,BRS3046,74.34,0
1988,56.7,7.11,Comum,63.43,0
1988,61,7.42,Comum,13.78,1
1988,65.6,7.27,BRS3046,63.8,0
1988,57.8,7.67,BRS3046,76.77,0
1988,58.9,7.13,BRS3046,72.36,0
1988,60.5,7.2,Comum,9.08,1
1988,57.5,7.23,BRS3046,75.46,0
1988,65.2,7.31,BRS3046,81.19,0
1988,59.8,7.29,BRS3046,65.33,0
1988,56.2,7.52,BRS3046,63.02,0
1988,55.3,7.84,BRS3046,71.31,0
1988,54,7.8,BRS3046,66.88,0
1988,58.3,7.46,BRS3046,71.94,0
1988,64.6,7.24,Comum,8.6,1
1988,62.5,7.58,BRS3046,70.8,0
1988,61.3,7.53,BRS3046,56.41,0
1988,62.6,7.51,BRS3046,81.81,0
1988,62.6,7.26,BRS3046,68.4,0
1988,59.4,7.98,BRS3046,69.62,0
1988,57.2,7.94,Comum,9.05,1
1988,57,7.77,Comum,12.58,1
1988,60.3,7.04,BRS3046,65.34,0
1988,54,7.85,BRS3046,61.04,0
1988,70,7.92,BRS3046,81.77,0
1988,57.5,7.38,BRS3046,61.79,0
1988,64.9,7.22,BRS3046,70.37,0
1988,57.7,7.44,BRS3046,63.76,0
1988,62,7.58,BRS3046,81.18,0
1988,58,7.9,BRS3046,76.02,0
1988,55.3,7.74,BRS3046,64.77,0
1988,59.6,7.69,BRS3046,72.78,0
1988,56.1,7.73,BRS3046,73.38,0
1988,59.4,7.25,BRS3046,74.09,0
1988,66.1,7.68,BRS3046,80.39,0
1988,49.2,7.88,BRS3046,8.03,1
1988,58.2,7.09,Comum,8.52,1
1988,62.9,7.11,Comum,10.51,1
1988,63.2,7.16,BRS3046,64.43,0
1988,59.9,7.28,BRS3046,69.87,0
1988,64.6,7.04,Comum,7.6,1
1988,59.7,7.69,BRS3046,66.59,0
1988,61.4,7.35,BRS3046,66.98,0
1988,69.1,7.05,BRS3046,82.99,0
1988,60.9,7.53,Comum,7.23,1
1988,60.9,7.34,Comum,9.88,1
1988,54.9,7.14,BRS3046,10.91,1
1988,59.3,7.92,BRS3046,68.53,0
1989,64.3,7.73,BRS3046,72.25,0
1989,58.8,7.2,Comum,8.86,1
1989,50.8,7.8,Comum,6.16,1
1989,65.5,7.47,BRS3046,66.3,0
1989,54.8,7,BRS3046,83.87,0
1989,62.1,7.66,BRS3046,67.27,0
1989,62.7,7.15,BRS3046,60.42,0
1989,64.7,7.3,BRS3046,62.25,0
1989,58.8,7.8,BRS3046,74.78,0
1989,58.4,7.33,Comum,11.36,1
1989,61.5,7.85,Comum,11.02,1
1989,58.4,7.59,BRS3046,63.52,0
1989,62,7.72,BRS3046,61.92,0
1989,57.6,7.24,BRS3046,74.03,0
1989,62.3,7.34,Comum,9.78,1
1989,58.7,7.49,BRS3046,78.63,0
1989,52.3,7.12,BRS3046,72.58,0
1989,53.8,7.89,BRS3046,77.65,0
1989,58.8,7.35,Comum,7.81,1
1989,64.8,7.61,BRS3046,64.46,0
1989,59.7,7.37,BRS3046,68.78,0
1989,56.2,7.29,BRS3046,75.69,0
1989,55.6,7.89,BRS3046,72.37,0
1989,60.5,7.29,BRS3046,62.1,0
1989,63,7.25,BRS3046,63.74,0
1989,59.5,7.15,Comum,10.59,1
1989,58.4,7.41,Comum,7.72,1
1989,65.1,7.16,Comum,7.68,1
1989,62.4,7.2,Comum,10.39,1
1989,58.6,7.13,Comum,11.68,1
1989,54.6,7.52,BRS3046,69.79,0
1989,61.6,7.02,BRS3046,74.61,0
1989,64.2,7.48,BRS3046,76.31,0
1989,67.9,7.76,BRS3046,62.32,0
1989,54.2,7.53,BRS3046,76.5,0
1989,57.6,7.16,Comum,62.97,0
1989,56.2,7.4,Comum,58.89,0
1989,59.6,7.77,BRS3046,81.54,0
1989,53,7.82,BRS3046,76.38,0
1989,60.8,7.17,BRS3046,63.78,0
1989,64.9,7.34,BRS3046,85.88,0
1989,55.9,7.25,Comum,9.54,1
1989,60.9,7.28,Comum,9.23,1
1989,52.8,7.88,Comum,11.57,1
1989,62.1,7.33,BRS3046,68.88,0
1989,50.5,7.53,BRS3046,68.81,0
1989,60.5,7.45,BRS3046,64.96,0
1989,62.6,7.93,BRS3046,65.36,0
1989,59.1,7.11,BRS3046,69.33,0
1989,59,7.88,BRS3046,75.12,0
1989,62.6,7.42,BRS3046,65.14,0
1989,60.4,8,BRS3046,64.54,0
1989,67.3,7.84,BRS3046,64.47,0
1989,61.8,7.61,Comum,9.96,1
1989,62.8,7.26,BRS3046,73.89,0
1989,63.2,7.94,BRS3046,65.91,0
1989,62.6,7.71,Comum,7.86,1
1989,60.2,7.4,BRS3046,65.31,0
1989,63.4,7.07,Comum,68.05,0
1989,58.6,7.64,BRS3046,74.29,0
1989,68,7.34,BRS3046,73.43,0
1989,61.6,7.59,BRS3046,73.59,0
1989,57.4,7.73,Comum,9.24,1
1989,59.6,7.28,BRS3046,72.77,0
1989,54.8,7.84,BRS3046,80.32,0
1989,63.6,7.9,Comum,11.59,1
1989,62.4,7.45,BRS3046,77.61,0
1989,58.1,7.64,BRS3046,72.07,0
1989,53.6,7.42,BRS3046,58.25,0
1989,60.7,7.09,Comum,14.74,1
1989,67.1,7.69,BRS3046,64.13,0
1989,62.4,7.79,BRS3046,64.27,0
1989,62.5,7.72,Comum,9.11,1
1989,62.7,7.04,Comum,9.07,1
1989,64,7.98,Comum,77.46,0
1989,64.9,7.77,BRS3046,66.9,0
1989,58.4,7.53,Comum,6.7,1
1989,57.5,7.83,BRS3046,77.06,0
1989,62.3,7.82,BRS3046,67.38,0
1989,63.8,7.48,BRS3046,71.15,0
1989,64.6,7.07,BRS3046,69.46,0
1989,62.2,7.38,Comum,6.5,1
1989,57.3,7.92,BRS3046,65.42,0
1989,61.1,7.91,BRS3046,76.48,0
1989,64.7,7.06,BRS3046,73.08,0
1989,61.1,7.62,BRS3046,75.3,0
1989,61.9,7.13,BRS3046,61.04,0
1989,64,7.13,BRS3046,69.83,0
1989,53.6,7.13,Comum,8.29,1
1989,56.2,7.14,Comum,11.33,1
1989,60.4,7.29,BRS3046,71.29,0
1989,62.8,7.56,Comum,10.32,1
1989,64.2,7.89,BRS3046,74.1,0
1989,60.4,7.55,Comum,81,0
1989,53.5,7.53,Comum,7.67,1
1989,57.1,7.18,BRS3046,74.87,0
1989,74.3,7.48,BRS3046,74.96,0
1989,59.7,7.21,Comum,11.02,1
1989,56.7,7.09,BRS3046,61.39,0
1989,58.7,7.3,Comum,9.42,1
1989,69.7,7.14,Comum,69.97,0
1989,58.7,7.96,BRS3046,64.72,0
1989,56.8,8,Comum,7.71,1
1989,64.9,7.55,BRS3046,65.59,0
1989,51,7.5,BRS3046,72.18,0
1989,55.8,7.48,Comum,11.41,1
1989,63.6,7.53,BRS3046,60.7,0
1989,58.4,7.79,BRS3046,57.48,0
1989,59,7.77,BRS3046,65.82,0
1989,65.3,7.15,Comum,10.23,1
1989,61.7,7.53,BRS3046,75.01,0
1989,63.1,7.93,BRS3046,62.66,0
1989,64.3,7.28,BRS3046,67.7,0
1989,62.8,7.48,BRS3046,66.77,0
1989,58.5,7.45,Comum,10.77,1
1989,60.8,7.71,Comum,12.55,1
1989,67.4,7.71,BRS3046,56.74,0
1989,57.4,7.03,BRS3046,60.95,0
1990,52.8,7.08,Comum,7.79,1
1990,66.4,7.9,BRS3046,63.77,0
1990,56.6,7.17,BRS3046,66.19,0
1990,62.1,7.8,BRS3046,72.57,0
1990,59.4,7.82,BRS3046,65.11,0
1990,54.2,7.72,BRS3046,67.28,0
1990,55.7,7.73,Comum,11.23,1
1990,58.4,7.85,BRS3046,72.82,0
1990,59.9,7.22,BRS3046,76.51,0
1990,64,7.12,Comum,6.24,1
1990,55.4,7.77,Comum,10.57,1
1990,57.4,7.46,BRS3046,78.62,0
1990,63.7,7.65,BRS3046,86.4,0
1990,62.3,7.95,Comum,14.11,1
1990,55.1,7.5,Comum,10.06,1
1990,70.6,7.59,BRS3046,62.73,0
1990,60.2,7.93,Comum,11.2,1
1990,58.4,7.98,BRS3046,69.96,0
1990,64.4,7.77,BRS3046,75.44,0
1990,56.6,7.68,BRS3046,69.46,0
1990,62.4,7.98,Comum,10.92,1
1990,56.2,7.51,Comum,9.34,1
1990,64.8,7.21,BRS3046,70.93,0
1990,68.5,7.45,BRS3046,71.32,0
1990,63.7,7.33,Comum,10.86,1
1990,61.4,7.15,BRS3046,75.73,0
1990,63.7,7.24,BRS3046,66.47,0
1990,74.4,7.79,Comum,67.65,0
1990,66.7,7.08,BRS3046,71.1,0
1990,57.8,7.08,Comum,10.02,1
1990,57,7.48,BRS3046,63.91,0
1990,54.8,7.29,BRS3046,59.14,0
1990,55.6,7.08,Comum,65.66,0
1990,62,7.22,BRS3046,70.63,0
1990,63.2,7.97,BRS3046,63.17,0
1990,56.7,7.9,BRS3046,69.22,0
1990,64,7.56,BRS3046,75.37,0
1990,58.1,7.83,BRS3046,78.94,0
1990,53.9,7.04,BRS3046,74.29,0
1990,63.5,7.7,BRS3046,62.87,0
1990,54.3,7.79,BRS3046,73.5,0
1990,59.6,7.49,BRS3046,13.96,1
1990,59.7,7.08,Comum,9.57,1
1990,64.3,7.96,Comum,11.11,1
1990,60.3,7.53,Comum,9.96,1
1990,59.9,7.2,Comum,9.49,1
1990,60.4,7.96,Comum,6.19,1
1990,63.7,7.96,BRS3046,7.23,1
1990,63.3,7.24,BRS3046,77.25,0
1990,64.2,7.56,BRS3046,73.86,0
1990,60.4,7.73,BRS3046,97,0
1990,62,7.47,Comum,13.74,1
1990,57.2,7.89,BRS3046,58.37,0
1990,59.5,7.66,BRS3046,85.37,0
1990,60.6,7.37,BRS3046,72.39,0
1990,65.2,7.54,Comum,7.39,1
1990,53.6,7.12,BRS3046,72.34,0
1990,65.6,7.82,BRS3046,61.84,0
1990,61.8,8,BRS3046,59.2,0
1990,63.8,7.02,BRS3046,69.38,0
1990,59.2,7.73,Comum,5.47,1
1990,66.6,7.87,BRS3046,54.96,0
1990,55.4,7.59,BRS3046,67.08,0
1990,57.2,7.27,Comum,10.47,1
1990,66.8,7.01,BRS3046,65.84,0
1990,57.6,7.57,BRS3046,72.35,0
1990,47.3,7.79,BRS3046,9.15,1
1990,62.4,7.73,BRS3046,69.51,0
1990,69.2,7.46,BRS3046,68.97,0
1990,53.2,7.54,BRS3046,64.59,0
1990,55.2,7.45,BRS3046,66.08,0
1990,55.7,7.62,BRS3046,61.77,0
1990,60.3,7.61,BRS3046,68.77,0
1990,63,8,BRS3046,59.8,0
1990,55.7,7.54,BRS3046,58.95,0
1990,55,7.96,BRS3046,8.38,1
1990,59.2,7.52,BRS3046,64.45,0
1990,56.1,7.16,BRS3046,69.61,0
1990,64.4,7.24,BRS3046,62.92,0
1990,64.9,7.72,BRS3046,62.05,0
1990,59.8,7.66,BRS3046,69.18,0
1990,60,7.06,Comum,9.56,1
1990,66.5,7.5,BRS3046,76.27,0
1990,58,7.69,Comum,11.92,1
1990,56.6,7.87,BRS3046,63.59,0
1990,63.8,7.17,BRS3046,67.02,0
1990,60.2,7.17,Comum,9.4,1
1990,54.8,7.71,BRS3046,63.26,0
1990,57.7,7.08,BRS3046,83.92,0
1990,58.6,7.17,BRS3046,67.88,0
1990,60.8,7.93,BRS3046,64.36,0
1990,60.2,7.11,BRS3046,73.76,0
1990,58.8,7.49,BRS3046,66.82,0
1990,55.1,7.24,Comum,11.77,1
1990,61.5,7.44,BRS3046,69.38,0
1990,54.6,7.43,BRS3046,67,0
1990,63.7,7.51,Comum,12.24,1
1990,55.3,7.34,Comum,6.56,1
1990,58.1,7.7,BRS3046,72.94,0
1990,60.4,7.3,BRS3046,77.67,0
1990,63.9,7.51,BRS3046,78.43,0
1990,54.1,7.32,BRS3046,73.5,0
1990,65.7,7.06,BRS3046,74.19,0
1990,60.1,7.16,BRS3046,57.24,0
1990,64.6,7.35,Comum,72.5,0
1990,61.3,7,BRS3046,76.9,0
1990,55.3,7.24,BRS3046,78.97,0
1990,56.4,7.69,Comum,7.46,1
1990,57.2,7.38,BRS3046,67.1,0
1990,60.2,7.35,BRS3046,75.26,0
1990,62.8,7.24,BRS3046,60.82,0
1990,64.3,7.97,BRS3046,63.72,0
1990,59.3,7.89,BRS3046,67.3,0
1990,61.6,7.74,BRS3046,72.12,0
1990,60,7.86,BRS3046,56.7,0
1990,59.9,7.69,Comum,10.42,1
1990,62.1,7.6,Comum,8.96,1
1990,68.6,7.58,Comum,10.3,1
1990,64.4,7.36,BRS3046,60.97,0
1990,67.7,7.34,Comum,9.25,1
1990,61.7,7.28,Comum,8,1
1990,62.5,7.59,BRS3046,72.87,0
1990,63.5,7.43,Comum,8.33,1
1990,60.4,7.92,BRS3046,72.8,0
1990,55.7,7.54,BRS3046,75.36,0
1990,58.8,7.59,BRS3046,63.83,0
1990,61.6,7.89,Comum,9.71,1
1990,57.7,7.81,BRS3046,75.23,0
1990,60,7.92,Comum,8.64,1
1990,53,7.65,Comum,8.12,1
1990,55,7.14,Comum,10.3,1
1990,57.6,7.27,BRS3046,80.5,0
1990,59.2,7.37,BRS3046,69.06,0
1990,57.8,7.41,BRS3046,57.47,0
1991,57.3,7.12,BRS3046,71.72,0
1991,61.2,7.37,BRS3046,66.42,0
1991,61.5,7.72,BRS3046,59.42,0
1991,58.2,7.02,BRS3046,60.73,0
1991,63.1,7.53,BRS3046,72.56,0
1991,56.5,7.01,BRS3046,70.01,0
1991,60.4,7.33,BRS3046,74.21,0
1991,54.5,7.11,BRS3046,65.83,0
1991,63.9,7.09,BRS3046,51.7,0
1991,58.2,7.41,BRS3046,80.43,0
1991,53.6,7.26,BRS3046,66.06,0
1991,55.9,7.72,BRS3046,80.87,0
1991,57.5,7.14,BRS3046,8.99,1
1991,55.5,7.41,Comum,8.83,1
1991,63.2,7.11,Comum,74.76,0
1991,50.9,7.78,Comum,6.47,1
1991,59.5,7.22,Comum,8.41,1
1991,59.8,7.06,BRS3046,53.23,0
1991,58.9,7.18,BRS3046,80.82,0
1991,61.2,7.01,Comum,77.28,0
1991,54.6,7.52,BRS3046,63.76,0
1991,65.6,7.98,BRS3046,76.24,0
1991,60.2,7.3,BRS3046,63.46,0
1991,55.9,7.65,BRS3046,60.97,0
1991,59,7.52,Comum,8.46,1
1991,59.9,7.99,Comum,9.63,1
1991,58.8,7.66,Comum,7.97,1
1991,57.7,7.03,BRS3046,76.28,0
1991,57.3,7.39,BRS3046,11.03,1
1991,54.9,7.59,Comum,9.17,1
1991,59.3,7.75,BRS3046,64.85,0
1991,59,7.54,BRS3046,70.23,0
1991,57.8,7.45,BRS3046,64.55,0
1991,59.2,7.97,Comum,6.97,1
1991,61.2,7.58,BRS3046,87.16,0
1991,65,7.31,Comum,73.72,0
1991,62.2,7.25,BRS3046,83.09,0
1991,59.4,7.01,BRS3046,76.49,0
1991,62.9,7.32,Comum,10.36,1
1991,65.1,7.71,BRS3046,77.98,0
1991,59.1,7.71,Comum,9.25,1
1991,62.8,7.14,BRS3046,75.41,0
1991,62.9,7.72,BRS3046,71.09,0
1991,49.5,7.51,BRS3046,80.79,0
1991,61.7,7.81,BRS3046,65.17,0
1991,57.2,7.62,Comum,10.37,1
1991,56,7.94,Comum,7.19,1
1991,58.9,7.43,BRS3046,74.01,0
1991,58.2,7.06,BRS3046,69,0
1991,60.9,7.56,Comum,12.35,1
1991,61.1,7.34,BRS3046,73.15,0
1991,58.3,7.03,BRS3046,72.35,0
1991,59.8,7.82,BRS3046,68.08,0
1991,58.8,7.91,BRS3046,75.14,0
1991,59.1,7.43,BRS3046,83.97,0
1991,55.2,7.47,BRS3046,78.54,0
1991,63.5,7.26,BRS3046,67.71,0
1991,62.9,7.88,BRS3046,78.51,0
1991,56.1,7.5,BRS3046,74.68,0
1991,53,7.62,BRS3046,83.58,0
1991,66.4,7.68,BRS3046,78.38,0
1991,65,7.84,BRS3046,60.5,0
1991,57.4,7.47,Comum,10.32,1
1991,59,7.98,Comum,8.17,1
1991,60.9,7.12,Comum,10.81,1
1991,51.5,7.19,BRS3046,74.27,0
1991,58.7,7.9,Comum,8.79,1
1991,55.7,7.28,BRS3046,70.25,0
1991,60.7,7.84,BRS3046,63.96,0
1991,60.1,7.34,BRS3046,82.09,0
1991,57,7.08,Comum,68.94,0
1991,60.3,7.56,BRS3046,71.21,0
1991,59,7.55,BRS3046,8.04,1
1991,57.2,7.26,Comum,8.62,1
1991,56,7.05,BRS3046,65.73,0
1991,60.7,7.69,BRS3046,72.23,0
1991,69.6,7.98,BRS3046,74.09,0
1991,63.8,7.11,Comum,68.46,0
1991,59,7.71,BRS3046,69.28,0
1991,61,7.38,BRS3046,72.33,0
1991,53.9,7.39,Comum,10.78,1
1991,55.7,7.71,BRS3046,79.23,0
1991,68,7.22,BRS3046,62.48,0
1991,64.9,7.83,BRS3046,71.45,0
1991,59.2,7.4,BRS3046,61.46,0
1991,58.5,7.55,BRS3046,70.54,0
1991,58.9,7.12,Comum,11.07,1
1991,60.2,7.43,Comum,6.65,1
1991,63.9,7.2,BRS3046,67.44,0
1991,60.2,7.91,BRS3046,59.92,0
1991,53.1,7.02,BRS3046,75.87,0
1991,60.4,7.91,BRS3046,84.59,0
1991,55.7,7.17,Comum,9.05,1
1991,61.4,7.29,Comum,8.33,1
1991,60.6,7.31,BRS3046,65.25,0
1991,68.4,7.87,Comum,9.88,1
1991,57.7,7.86,Comum,7.72,1
1991,64.6,7.18,BRS3046,62.96,0
1991,65.8,7.15,BRS3046,69.66,0
1991,63.4,7.69,BRS3046,68.76,0
1991,62.5,7.47,BRS3046,63.71,0
1991,60.4,7.41,BRS3046,73.55,0
1991,49.2,7.73,BRS3046,8.24,1
1991,59,7.52,BRS3046,57.78,0
1991,55.4,7.02,BRS3046,59.46,0
1991,60.1,7.25,BRS3046,61.27,0
1991,60.5,7.51,BRS3046,75.47,0
1991,70.6,7.12,BRS3046,69.85,0
1991,56.7,7,BRS3046,65.33,0
1991,62.2,7.41,BRS3046,69.71,0
1991,61,7.51,BRS3046,76.53,0
1991,62,7.29,BRS3046,78.33,0
1991,59.5,7.91,BRS3046,75.39,0
1991,60.1,7.77,BRS3046,67.71,0
1991,55.9,7.59,BRS3046,69.71,0
1991,57.6,7.13,BRS3046,73.33,0
1991,52.9,7.26,BRS3046,66.54,0
1991,59.4,7.26,Comum,8.25,1
1991,62.6,7.27,BRS3046,68.26,0
1991,61.5,7.44,BRS3046,66.89,0
